name,category_name,subcategory_name,type_name
.NET Assemblies,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Code Analysis (FxCop Analyzers),Information Technology,Software Development Tools,Specialized Skill
.NET Development,Information Technology,Software Development,Specialized Skill
.NET Framework,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 1,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 3,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 4,Information Technology,Microsoft Development Tools,Specialized Skill
.NET MAUI (Multi-Platform App UI),Information Technology,Microsoft Development Tools,Specialized Skill
.NET Micro Framework,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Reflector,Information Technology,Software Development Tools,Specialized Skill
.NET Remoting,Information Technology,Application Programming Interface (API),Specialized Skill
.htaccess Files,Information Technology,Web Design and Development,Specialized Skill
.nettiers,Information Technology,Software Development Tools,Specialized Skill
10 Gigabit Ethernet,Information Technology,Networking Hardware,Specialized Skill
10-Hour OSHA Construction Card,Architecture and Construction,Construction Inspection,Certification
10-Hour OSHA General Industry Card,Public Safety and National Security,Safety and Security,Certification
100-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
1010data,Analysis,Data Analysis,Specialized Skill
10BASE-F (Physical Layer Protocols),Information Technology,Network Protocols,Specialized Skill
10BASE2,Information Technology,Networking Hardware,Specialized Skill
10BASE5,Information Technology,Networking Hardware,Specialized Skill
12 Volt Electricity,"Maintenance, Repair, and Facility Services",Basic Electrical Systems,Specialized Skill
128bit,Information Technology,Software Development,Specialized Skill
12factor,Information Technology,Software Development,Specialized Skill
1Password,Information Technology,Identity and Access Management,Specialized Skill
1st Class Power Engineer Certificate,Architecture and Construction,Electrical Construction,Certification
200-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Transportation Operations,Certification
2020 Design Software,Architecture and Construction,Interior Design,Specialized Skill
25-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
2D Animation,Design,Animation and Game Design,Specialized Skill
2D Computer Graphics,Design,Digital Design,Specialized Skill
2D Computer-Aided Drafting And Design,Engineering,Drafting and Engineering Design,Specialized Skill
2D Game Development,Design,Animation and Game Design,Specialized Skill
2D Gel Analysis Software,Analysis,Data Analysis,Specialized Skill
2D Rendering,Design,Graphic and Visual Design,Specialized Skill
2nd Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
30-Hour MIOSHA Safety Certification,"Law, Regulation, and Compliance",Occupational Health and Safety,Certification
30-Hour OSHA Construction Card,Architecture and Construction,Construction Inspection,Certification
30-Hour OSHA General Industry Card,Public Safety and National Security,Safety and Security,Certification
35 Mm Films,Media and Communications,Photo/Video Production and Technology,Specialized Skill
360 Campaigns,Marketing and Public Relations,Marketing Strategy and Techniques,Specialized Skill
360-Degree Feedback,Business,People Management,Specialized Skill
389 Directory Server (Fedora Project),Information Technology,Identity and Access Management,Specialized Skill
3A Pesticide Applicator License,Environment,Hazardous Materials Management,Certification
3B Pesticide Applicator License,Environment,Hazardous Materials Management,Certification
3COM Certified IP Telephony NBX Expert,Information Technology,Network Protocols,Certification
3COM Certified IP Telephony VCX Expert,Information Technology,Network Protocols,Certification
3CX Phone Systems,Information Technology,Mobile Development,Specialized Skill
3Com Certified Wireless Specialist,Information Technology,Wireless Technologies,Certification
3D Animation,Design,Animation and Game Design,Specialized Skill
3D Art,Design,Art and Illustration,Specialized Skill
3D Assets,Engineering,Drafting and Engineering Design,Specialized Skill
3D Camcorder,Media and Communications,Audio Production and Technology,Specialized Skill
3D Computer Graphics,Design,Digital Design,Specialized Skill
3D Computer Graphics Software,Design,Graphic and Visual Design Software,Specialized Skill
3D Conformal Radiotherapy (3DCRT),Health Care,Oncology,Specialized Skill
3D Game Development,Design,Animation and Game Design,Specialized Skill
3D Graphic Design,Design,Graphic and Visual Design,Specialized Skill
3D Modeling,Engineering,Drafting and Engineering Design,Specialized Skill
3D Modeling Software,Engineering,Drafting and Engineering Design,Specialized Skill
3D Production,Design,Graphic and Visual Design,Specialized Skill
3D Projection,Analysis,Data Visualization,Specialized Skill
3D Reconstruction,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
3D Rendering,Design,Digital Design,Specialized Skill
3D Scanning,Engineering,Drafting and Engineering Design,Specialized Skill
3D Surface Modeling,Engineering,Drafting and Engineering Design,Specialized Skill
3D Touch,Information Technology,Mobile Development,Specialized Skill
3D Visualization,Design,Digital Design,Specialized Skill
3DML,Information Technology,Other Programming Languages,Specialized Skill
3DMark (Computer Benchmarking),Information Technology,Computer Hardware,Specialized Skill
3DSlicer,Health Care,Medical Imaging,Specialized Skill
3Dvia Composer,Analysis,Data Visualization,Specialized Skill
3G Welding Certification,Manufacturing and Production,Metal Fabrication,Certification
3GPP (Telecommunication),Information Technology,Wireless Technologies,Specialized Skill
3GPP2 (Telecommunication),Information Technology,Wireless Technologies,Specialized Skill
3M (Software),Health Care,Health Information Management and Medical Records,Specialized Skill
3M Certified,Business,Product Management,Certification
3M Codefinder,Health Care,Health Information Management and Medical Records,Specialized Skill
3M Encoder,Health Care,Medical Billing and Coding,Specialized Skill
3d Engine,Design,Animation and Game Design,Specialized Skill
3d Secure,Finance,Financial Regulation,Specialized Skill
3rd Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
3rd Party Systems Integration,Information Technology,System Design and Implementation,Specialized Skill
401K Plan Administration,Human Resources,Compensation and Benefits,Specialized Skill
409A Valuation,Finance,Financial Analysis,Specialized Skill
4D Modeling (Construction),Engineering,Drafting and Engineering Design,Specialized Skill
4DOS (Command Line Interpreter),Information Technology,Operating Systems,Specialized Skill
4G Welding Certification,Manufacturing and Production,"Welding, Brazing, and Soldering",Certification
4Sight,Business,Business Operations,Specialized Skill
4th Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
50-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
500-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
5150 Evaluations,Health Care,Mental and Behavioral Health Specialties,Specialized Skill
529 College Savings Planning,Finance,Financial Advisement,Specialized Skill
56 Kbit/S Modems,Information Technology,Networking Hardware,Specialized Skill
5ESS Switching System,Information Technology,Telecommunications,Specialized Skill
5G Technology,Information Technology,Wireless Technologies,Specialized Skill
5S Methodology,Manufacturing and Production,Lean Manufacturing,Specialized Skill
5S Methodology Certification,Information Technology,Software Quality Assurance,Certification
5th Class Power Engineer Certificate,Energy and Utilities,Electrical Power,Certification
64bit,Information Technology,Computer Hardware,Specialized Skill
6G Welding Certification,Manufacturing and Production,Manufacturing Standards,Certification
6LoWPAN,Information Technology,Network Protocols,Specialized Skill
7-Zip,Information Technology,Data Storage,Specialized Skill
8 Mm Video Format (Video Storage),Media and Communications,Photo/Video Production and Technology,Specialized Skill
A/B Testing,Marketing and Public Relations,Marketing Strategy and Techniques,Specialized Skill
A3 Problem Solving Techniques,Physical and Inherent Abilities,Critical Thinking and Problem Solving,Specialized Skill
AAA Protocol (Code Division Multiple Access),Information Technology,Identity and Access Management,Specialized Skill
AAA Server (Authentication Authorization And Accounting),Information Technology,Network Security,Specialized Skill
AAA Video Games,Design,Animation and Game Design,Specialized Skill
AAADM Certification,Information Technology,Software Quality Assurance,Certification
AAAE Accredited Airport Executive (AAE),"Transportation, Supply Chain, and Logistics",Air Transportation,Certification
AAAE Airport Certified Employee (ACE),"Transportation, Supply Chain, and Logistics",Air Transportation,Certification
AAAE Airport Rescue Fire Fighter (ARFF),"Transportation, Supply Chain, and Logistics",Air Transportation,Certification
AAAE Airport Security Coordinator Certification (ASC),"Transportation, Supply Chain, and Logistics",Transportation Security,Certification
AAAE Certified Member (CM),Information Technology,Enterprise Application Management,Certification
AAUS Scientific Diver Certification,Science and Research,General Science and Research,Certification
ABA Intervention,Health Care,Mental Health Therapies,Specialized Skill
ABC FlowCharter,Analysis,Data Visualization,Specialized Skill
ABC Inventory Classification,"Transportation, Supply Chain, and Logistics",Logistics,Specialized Skill
ABC Manager License,Business,Contract Management,Certification
ABI Solid Sequencing,Science and Research,Genetics,Specialized Skill
ABKA Certification,"Law, Regulation, and Compliance",Quality Assurance and Control,Certification
ABL Radiometers,Information Technology,Data Collection,Specialized Skill
ABO-NCLE Certified,"Law, Regulation, and Compliance",Auditing,Certification
ABR Routers,Information Technology,Networking Hardware,Specialized Skill
ABySS Genome Assembler,Science and Research,Genetics,Specialized Skill
AC Motors,Manufacturing and Production,Machinery,Specialized Skill
AC Power Plugs And Sockets,"Maintenance, Repair, and Facility Services",Basic Electrical Systems,Specialized Skill
AC/DC Converters,Energy and Utilities,Electrical Power,Specialized Skill
AC/DC Power,Energy and Utilities,Electrical Power,Specialized Skill
ACA Instructor Certificate,Education and Training,Training Programs,Certification
ACCP Certified,"Law, Regulation, and Compliance",Quality Assurance and Control,Certification
ACDSee,Design,Graphic and Visual Design Software,Specialized Skill
ACI Aggregate Testing Technician,Architecture and Construction,Construction Inspection,Certification
ACI Concrete Field Testing Technician,Architecture and Construction,Construction Inspection,Certification
ACI Concrete Laboratory Testing Technician,Architecture and Construction,Construction Inspection,Certification
ACI Concrete Strength Testing Technician,Architecture and Construction,Construction Inspection,Certification
ACID Pro,Media and Communications,Audio Production and Technology,Specialized Skill
ACL2,Information Technology,Other Programming Languages,Specialized Skill
ACLS For Experienced Providers (ACLS-EP),Health Care,Medical Support,Certification
ACLS Instructor Certification,Education and Training,Training Programs,Certification
ACMA Certified Composites Technician (CCT),Architecture and Construction,Carpentry,Certification
ACORD Forms,Customer and Client Support,Insurance and Warranty Claims Processing,Specialized Skill
ACTION Certified Personal Trainer,"Performing Arts, Sports, and Recreation",Coaching and Athletic Training,Certification
ADA Compliance,"Law, Regulation, and Compliance",Labor Compliance,Specialized Skill
ADABAS,Information Technology,Databases,Specialized Skill
ADDIE Instructional Design Model,Education and Training,Instructional and Curriculum Design,Specialized Skill
ADHD Tutoring,Education and Training,Special Education,Specialized Skill
ADMS (Software),Energy and Utilities,Energy Management,Specialized Skill
ADO.NET (Programming Language),Information Technology,Microsoft Development Tools,Specialized Skill
ADOMD.NET,Information Technology,Data Management,Specialized Skill
ADOdb Database Abstraction Library For PHP,Education and Training,Library and Archiving,Specialized Skill
ADP Certified Payroll Specialist,Human Resources,Payroll,Certification
ADP Enterprise,Human Resources,Payroll,Specialized Skill
ADP PCPW,Human Resources,Payroll,Specialized Skill
ADP Pay eXpert,Human Resources,Payroll,Specialized Skill
ADP PayForce,Human Resources,Payroll,Specialized Skill
ADP Payroll,Human Resources,Payroll,Specialized Skill
ADP Reporting,Human Resources,Human Resources Software,Specialized Skill
ADP SmartCompliance,Finance,Accounting and Finance Software,Specialized Skill
ADP TotalSource PEO Services,Human Resources,Human Resources Software,Specialized Skill
ADP Vantage,Human Resources,Human Resources Software,Specialized Skill
ADP Workforce Now,Human Resources,Payroll,Specialized Skill
ADT Security Services,Public Safety and National Security,Safety and Surveillance Technology,Specialized Skill
ADTRAN Certification,Information Technology,Networking Hardware,Certification
AERMOD,Environment,Air Quality and Emissions,Specialized Skill
AERONET,Environment,Air Quality and Emissions,Specialized Skill
AES3,Media and Communications,Audio Production and Technology,Specialized Skill
AFAA Group Fitness Instructor Certification,"Performing Arts, Sports, and Recreation",Coaching and Athletic Training,Certification
AFAA Indoor Cycling Certification,"Performing Arts, Sports, and Recreation",Sports and Recreation,Certification
AFAA Kickboxing Certification,"Performing Arts, Sports, and Recreation",Coaching and Athletic Training,Certification
AFAA Personal Fitness Trainer Certification,"Performing Arts, Sports, and Recreation",Coaching and Athletic Training,Certification
AFGROW,Engineering,Engineering Software,Specialized Skill
AFIP Certified,Finance,Insurance,Certification
AGFA Impax 6,Health Care,Medical Imaging,Specialized Skill
AGi32,Engineering,Simulation and Simulation Software,Specialized Skill
AHIMA Standards Of Ethical Coding,Health Care,Medical Billing and Coding,Specialized Skill
AHIP Certified,Health Care,Health Care Administration,Certification
AI Agent Monitoring,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Agent Observability,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Agents,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Algorithms,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Alignment,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Assisted Content Generation,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Best Practices,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Bias,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Copywriting,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Driven Predictive Scheduling,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Failure,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Incident Response Procedure,Information Technology,Cybersecurity,Specialized Skill
AI Innovation,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Literacy,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Personalization,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Product Strategy,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Research,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Safety,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Security,Information Technology,Cybersecurity,Specialized Skill
AI Testing,Information Technology,Software Quality Assurance,Specialized Skill
AI Transcription,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI Translation,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI in Diagnostics,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI in EHR Systems,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI in Patient Services,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI-Based Legal Compliance,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI-Driven Treatment Planning Algorithm,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI-Generated Code,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI-Powered Professional Development,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AI/ML Inference,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AIOps (Artificial Intelligence For IT Operations),Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AIRS Certified Diversity Recruiter (CDR),Human Resources,Recruitment,Certification
AISC 360 Specification For Structural Steel Buildings,Architecture and Construction,Construction Inspection,Specialized Skill
AKTA (Chromatography Technology),Science and Research,Laboratory Research,Specialized Skill
ALA Lighting Specialist Certification,Information Technology,Software Quality Assurance,Certification
ALGOL (ALGOrithmic Language),Information Technology,Other Programming Languages,Specialized Skill
ALM Octane,Information Technology,Software Development Tools,Specialized Skill
ALWD Citation Manual,"Law, Regulation, and Compliance",Legal Support,Specialized Skill
AME Accounting Software,Finance,Financial Accounting,Specialized Skill
AMPL,Information Technology,Other Programming Languages,Specialized Skill
AMPScript,Information Technology,Scripting Languages,Specialized Skill
AMS Device Management,Manufacturing and Production,Manufacturing Processes,Specialized Skill
AMT Asset Management Software,Finance,Accounting and Finance Software,Specialized Skill
AMX Programming,Information Technology,Other Programming Languages,Specialized Skill
AN/PRC-148 Multiband Inter/Intra Team Radio (MBITR),Public Safety and National Security,Military Technology and Weapons,Specialized Skill
ANCC Certified,Health Care,Nursing and Patient Care,Certification
ANSI C,Information Technology,C and C++,Specialized Skill
ANSI Escape Codes (Computer Standards),Design,User Interface and User Experience (UI/UX) Design,Specialized Skill
ANSI/ANS Standards,Energy and Utilities,Nuclear Energy,Specialized Skill
ANSI/ASME Y14.1 Standards,Manufacturing and Production,Manufacturing Standards,Specialized Skill
ANSI/TIA/EIA,"Maintenance, Repair, and Facility Services",Telecommunications Equipment and Installation,Specialized Skill
ANSYS IcePak (Simulation Software),Engineering,Simulation and Simulation Software,Specialized Skill
ANSYS Meshing,Engineering,Simulation and Simulation Software,Specialized Skill
ANTLR,Analysis,Natural Language Processing (NLP),Specialized Skill
ANTS Performance Profiler,Information Technology,Configuration Management,Specialized Skill
AOLserver,Information Technology,Web Services,Specialized Skill
AP Stylebook,Media and Communications,Writing and Editing,Specialized Skill
APA Ethics Code,Health Care,Health Care Procedure and Regulation,Specialized Skill
APC Smart-UPS,Energy and Utilities,Electrical Power,Specialized Skill
APCO Public Safety Telecommunicator Certification,Public Safety and National Security,Safety and Security,Certification
API 570 Piping Inspector Certification,Energy and Utilities,Oil and Gas,Certification
API 653 Aboveground Storage Tank Inspector Certification,Environment,Hazardous Materials Management,Certification
API Design,Information Technology,Application Programming Interface (API),Specialized Skill
API Gateway,Information Technology,Application Programming Interface (API),Specialized Skill
API Management,Information Technology,Application Programming Interface (API),Specialized Skill
API Oil-Water Separator,Environment,Waste Management,Specialized Skill
API System Integration,Information Technology,Application Programming Interface (API),Specialized Skill
API Testing,Information Technology,Software Quality Assurance,Specialized Skill
API Throttling,Information Technology,Application Programming Interface (API),Specialized Skill
APICS Certified Supply Chain Professional,"Transportation, Supply Chain, and Logistics",Supply Chain Management,Certification
APL (Programming Language),Information Technology,Other Programming Languages,Specialized Skill
APPX (Runtime Environment),Information Technology,Software Development Tools,Specialized Skill
AQtime,Information Technology,Software Development Tools,Specialized Skill
AR System Administration,Information Technology,Augmented and Virtual Reality (AR/VR),Specialized Skill
ARC Macro Language,Information Technology,Other Programming Languages,Specialized Skill
ARC Specialist Certification,Finance,Specialized Accounting,Certification
ARCore,Information Technology,Augmented and Virtual Reality (AR/VR),Specialized Skill
ARCserve Backup Solutions,Information Technology,Backup Software,Specialized Skill
AREMOS,Marketing and Public Relations,Market Analysis,Specialized Skill
ARGO BankPro,Finance,Accounting and Finance Software,Specialized Skill
ARINC Standards,"Transportation, Supply Chain, and Logistics",Air Transportation,Specialized Skill
ARISg,Science and Research,Pharmacology and Drug Discovery,Specialized Skill
ARKit,Information Technology,Augmented and Virtual Reality (AR/VR),Specialized Skill
ARM Architecture,Information Technology,Computer Science,Specialized Skill
ARM Architecture Microprocessors,Information Technology,Computer Hardware,Specialized Skill
ARM Microarchitectures,Information Technology,Database Architecture and Administration,Specialized Skill
ARM7 Architecture,Information Technology,Database Architecture and Administration,Specialized Skill
ARM9 Architecture,Information Technology,Database Architecture and Administration,Specialized Skill
ARMulator,Information Technology,Software Development Tools,Specialized Skill
ARP4754,"Transportation, Supply Chain, and Logistics",Air Transportation,Specialized Skill
ARP4761,"Transportation, Supply Chain, and Logistics",Air Transportation,Specialized Skill
ARRT Bone Densitometry (BD) Certification,Health Care,Orthopedics,Certification
ARRT Breast Sonography (BS) Certification,Health Care,Medical Imaging,Certification
ARRT Cardiac Interventional Radiography (CI) Certification,Health Care,Cardiology,Certification
ARRT Computed Tomography (CT) Certification,Health Care,Medical Imaging,Certification
ARRT Magnetic Resonance Imaging (MR) Certification,Health Care,Medical Imaging,Certification
ARRT Mammography (M) Certification,Health Care,Medical Imaging,Certification
ARRT Nuclear Medicine Technology (N) Certification,Health Care,Nuclear Medicine,Certification
ARRT Radiation Therapy (T) Certification,Health Care,Nuclear Medicine,Certification
ARRT Radiography (R) Certification,Health Care,Nuclear Medicine,Certification
ARRT Sonography (S) Certification,Health Care,Medical Imaging,Certification
ARRT Vascular Interventional Radiography (VI) Certification,Health Care,Cardiology,Certification
ARRT Vascular Sonography (VS) Certification,Health Care,Medical Imaging,Certification
AS2,Information Technology,Network Security,Specialized Skill
AS4 Conformance Profile,Information Technology,Data Management,Specialized Skill
ASAP Methodology,Business,Project Management,Specialized Skill
ASARS-2 Radar System,Public Safety and National Security,Military Technology and Weapons,Specialized Skill
ASC 340,Finance,Financial Regulation,Specialized Skill
ASC 606 (Revenue Recognition),Finance,General Accounting,Specialized Skill
ASC 740 (Accounting For Income Taxes),Finance,Tax,Specialized Skill
ASC 842 (Lease Accounting Standard),Finance,Financial Regulation,Specialized Skill
ASC X12 Standards,Information Technology,Cybersecurity,Specialized Skill
ASCM Supply Chain Procurement Certificate,"Transportation, Supply Chain, and Logistics",Supply Chain Management,Certification
ASE Advanced Engine Performance Certification,"Maintenance, Repair, and Facility Services",Vehicle Repair and Maintenance,Certification
ASE Auto Maintenance And Light Repair Certification,"Maintenance, Repair, and Facility Services",Vehicle Repair and Maintenance,Certification
ASE Automobile Service Consultant,Engineering,Automotive Technologies,Certification
ASE Medium-Heavy Truck Certification,Architecture and Construction,Heavy Equipment Operation,Certification
ASE Parts Specialist,Sales,Specialized Sales,Certification
ASIC Programming Language,Information Technology,Other Programming Languages,Specialized Skill
ASME Boiler And Pressure Vessel Code (BPVC),Manufacturing and Production,Manufacturing Standards,Specialized Skill
ASNT Non-Destructive Tester,Information Technology,Test Automation,Certification
ASP.NET,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Core,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Core MVC,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Extensions For AJAX,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Fundamentals,Information Technology,Web Design and Development,Specialized Skill
ASP.NET Identity,Information Technology,Identity and Access Management,Specialized Skill
ASP.NET MVC 5,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET MVC Framework,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Razor,Information Technology,Microsoft Development Tools,Specialized Skill
ASP.NET Web API,Information Technology,Microsoft Development Tools,Specialized Skill
ASQ Certified Manager Of Quality/Organizational Excellence (CMQ/OE),"Law, Regulation, and Compliance",Quality Assurance and Control,Certification
ASSR Certified,Information Technology,Software Quality Assurance,Certification
ASTM B117 - 11 Standard,Manufacturing and Production,Manufacturing Standards,Specialized Skill
ASTM International Standards,"Law, Regulation, and Compliance",Quality Assurance and Control,Specialized Skill
AT91SAM (Microcontrollers),Information Technology,Systems Administration,Specialized Skill
ATA Packet Interface,Information Technology,Data Management,Specialized Skill
ATEX Compliance and Safety,Public Safety and National Security,Safety and Security,Specialized Skill
ATG Dynamo,Information Technology,Enterprise Application Management,Specialized Skill
ATL Server,Information Technology,Web Services,Specialized Skill
ATLAS.ti (Qualitative Data Analysis Software),Analysis,Data Analysis,Specialized Skill
ATM Adaptation Layer,Information Technology,Data Management,Specialized Skill
ATM Controllers,Finance,Banking Services,Specialized Skill
ATP/EMTP Software,Engineering,Engineering Software,Specialized Skill
AUTomotive Open System Architecture (AUTOSAR),Engineering,Automotive Technologies,Specialized Skill
AVEVA PI (Software),Administration,Document Management,Specialized Skill
AVEVA Plant SCADA,Information Technology,Data Collection,Specialized Skill
AVG (Software),Information Technology,Malware Protection,Specialized Skill
AVIXA Certified Technology Specialist,Information Technology,Software Quality Assurance,Certification
AVL Tree,Information Technology,Computer Science,Specialized Skill
AVPlayer,Media and Communications,Audio Production and Technology,Specialized Skill
AVR Microcontrollers,Engineering,Electrical and Computer Engineering,Specialized Skill
AVRCP (Audio/Video Remote Control Profile),Design,User Interface and User Experience (UI/UX) Design,Specialized Skill
AVS Video Editor,Media and Communications,Photo/Video Production and Technology,Specialized Skill
AVoided Emissions And GeneRation Tool,Environment,Air Quality and Emissions,Specialized Skill
AWK (Programming Language),Information Technology,Scripting Languages,Specialized Skill
AWS AI Tools,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AWS Amplify,Information Technology,Software Development Tools,Specialized Skill
AWS App Mesh,Information Technology,Cloud Solutions,Specialized Skill
AWS AppSync,Information Technology,Application Programming Interface (API),Specialized Skill
AWS Application Discovery Service,Information Technology,Enterprise Application Management,Specialized Skill
AWS Auto Scaling,Information Technology,Cloud Solutions,Specialized Skill
AWS Backup,Information Technology,Backup Software,Specialized Skill
AWS Batch,Information Technology,Cloud Solutions,Specialized Skill
AWS Bedrock,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AWS Big Data,Information Technology,Data Management,Specialized Skill
AWS CLI (Command Line Interface),Information Technology,Scripting,Specialized Skill
AWS Certified Advanced Networking Specialty,Information Technology,Networking Software,Certification
AWS Certified Big Data Specialty,Information Technology,Data Management,Certification
AWS Certified Cloud Practitioner,Information Technology,Cloud Computing,Certification
AWS Certified DevOps Engineer,Information Technology,Software Quality Assurance,Certification
AWS Certified Developer,Information Technology,Software Development,Certification
AWS Certified Machine Learning Specialty,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Certification
AWS Certified Security Specialty,Public Safety and National Security,Safety and Security,Certification
AWS Certified Solutions Architect,Business,Business Solutions,Certification
AWS Certified Solutions Architect Associate,Business,Business Solutions,Certification
AWS Certified Solutions Architect Professional,Business,Business Solutions,Certification
AWS Certified SysOps Administrator,Information Technology,Systems Administration,Certification
AWS Cloud Development Kit (CDK),Information Technology,Cloud Computing,Specialized Skill
AWS CloudFormation,Information Technology,Cloud Solutions,Specialized Skill
AWS CloudHSM,Information Technology,Cybersecurity,Specialized Skill
AWS CloudTrail,Information Technology,Cybersecurity,Specialized Skill
AWS CodeBuild,Information Technology,Cloud Solutions,Specialized Skill
AWS CodeCommit,Information Technology,Version Control,Specialized Skill
AWS CodeDeploy,Information Technology,Software Development Tools,Specialized Skill
AWS CodePipeline,Information Technology,Software Development Tools,Specialized Skill
AWS Cost Management,Information Technology,Cloud Solutions,Specialized Skill
AWS Devops,Information Technology,IT Automation,Specialized Skill
AWS Directory Service,Information Technology,Cloud Solutions,Specialized Skill
AWS Elastic Beanstalk,Information Technology,Software Development Tools,Specialized Skill
AWS Elastic MapReduce (EMR),Analysis,Data Science,Specialized Skill
AWS Fargate,Information Technology,Web Services,Specialized Skill
AWS Glue,Information Technology,"Extraction, Transformation, and Loading (ETL)",Specialized Skill
AWS Identity And Access Management (IAM),Information Technology,Identity and Access Management,Specialized Skill
AWS Inferentia,Information Technology,Cloud Solutions,Specialized Skill
AWS Internet Of Things (IoT),Information Technology,Internet of Things (IoT),Specialized Skill
AWS Key Management Service (KMS),Information Technology,Cybersecurity,Specialized Skill
AWS Kinesis,Information Technology,Cloud Solutions,Specialized Skill
AWS Lambda,Information Technology,Cloud Solutions,Specialized Skill
AWS Networking,Information Technology,Networking Software,Specialized Skill
AWS OpsWorks,Information Technology,Configuration Management,Specialized Skill
AWS Outposts,Information Technology,Cloud Solutions,Specialized Skill
AWS SDK,Information Technology,Software Development Tools,Specialized Skill
AWS SageMaker,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
AWS Serverless,Information Technology,Cloud Solutions,Specialized Skill
AWS Systems Manager,Information Technology,IT Automation,Specialized Skill
AWS Tools,Information Technology,Web Services,Specialized Skill
AWS User Pools,Information Technology,Cloud Solutions,Specialized Skill
AWS X-Ray,Information Technology,Web Services,Specialized Skill
AX.25 Protocol,Information Technology,Network Protocols,Specialized Skill
Ab Initio (Software),Analysis,Business Intelligence Software,Specialized Skill
Abaqus,Engineering,Engineering Software,Specialized Skill
Abc Analysis,"Transportation, Supply Chain, and Logistics",Logistics,Specialized Skill
Abdomen (Medical),Health Care,General Medicine,Specialized Skill
Abdominal Aneurysm,Health Care,Cardiology,Specialized Skill
Abdominal Surgery,Health Care,Surgery,Specialized Skill
Abdominal Trauma,Health Care,Emergency and Intensive Care,Specialized Skill
Abdominal Ultrasonography,Health Care,Medical Imaging,Specialized Skill
Abdominoplasty,Health Care,Surgery,Specialized Skill
